 ;CO2 Saved [Month] / Meter Change [kg] / June 2020;CO2 Saved [Year] / Meter Change [kg] / 2020
City of W. Point Welcome Centr;248.749;2538.709
;248.75 / [Total];2538.71 / [Total]
