 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
6/1/17;6.101
6/2/17;10.833
6/3/17;8.440
6/4/17;5.746
6/5/17;8.297
6/6/17;3.646
6/7/17;7.211
6/8/17;10.893
6/9/17;10.921
6/10/17;10.754
6/11/17;8.713
6/12/17;9.624
6/13/17;9.412
6/14/17;8.483
6/15/17;10.403
6/16/17;10.069
6/17/17;11.170
6/18/17;7.383
6/19/17;9.349
6/20/17;2.780
6/21/17;2.129
6/22/17;4.696
6/23/17;10.225
6/24/17;6.467
6/25/17;8.192
6/26/17;11.328
6/27/17;10.052
6/28/17;10.404
6/29/17;4.253
6/30/17;5.589
