 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
1/1/17;0.347
1/2/17;0.483
1/3/17;2.774
1/4/17;3.767
1/5/17;6.800
1/6/17;0.720
1/7/17;8.675
1/8/17;7.848
1/9/17;8.509
1/10/17;7.073
1/11/17;4.320
1/12/17;5.508
1/13/17;5.474
1/14/17;6.855
1/15/17;6.770
1/16/17;5.349
1/17/17;5.244
1/18/17;2.736
1/19/17;3.977
1/20/17;3.968
1/21/17;1.742
1/22/17;2.011
1/23/17;4.024
1/24/17;8.602
1/25/17;7.771
1/26/17;8.170
1/27/17;5.327
1/28/17;6.520
1/29/17;6.295
1/30/17;8.961
1/31/17;8.667
