 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
7/1/17;7.908
7/2/17;10.253
7/3/17;9.860
7/4/17;10.684
7/5/17;10.540
7/6/17;9.726
7/7/17;9.703
7/8/17;9.021
7/9/17;10.411
7/10/17;9.127
7/11/17;8.007
7/12/17;6.879
7/13/17;10.673
7/14/17;11.147
7/15/17;10.452
7/16/17;6.786
7/17/17;9.130
7/18/17;9.173
7/19/17;10.636
7/20/17;11.288
7/21/17;10.296
7/22/17;10.431
7/23/17;10.154
7/24/17;10.748
7/25/17;4.779
7/26/17;10.838
7/27/17;10.409
7/28/17;7.027
7/29/17;7.715
7/30/17;11.242
7/31/17;11.927
