 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
8/1/19;9.308
8/2/19;8.602
8/3/19;6.217
8/4/19;9.549
8/5/19;8.427
8/6/19;8.967
8/7/19;9.880
8/8/19;8.506
8/9/19;10.475
8/10/19;9.732
8/11/19;10.765
8/12/19;10.084
8/13/19;9.417
8/14/19;10.947
8/15/19;11.320
8/16/19;11.624
8/17/19;11.357
8/18/19;9.383
8/19/19;7.052
8/20/19;10.228
8/21/19;10.589
8/22/19;9.802
8/23/19;9.743
8/24/19;7.225
8/25/19;3.004
8/26/19;2.667
8/27/19;5.231
8/28/19;11.383
8/29/19;12.034
8/30/19;11.991
8/31/19;8.217
