 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
9/1/15;10.125
9/2/15;10.312
9/3/15;6.133
9/4/15;11.141
9/5/15;8.756
9/6/15;9.604
9/7/15;9.464
9/8/15;5.538
9/9/15;8.693
9/10/15;8.305
9/11/15;7.956
9/12/15;4.816
9/13/15;12.524
9/14/15;12.168
9/15/15;9.027
9/16/15;6.108
9/17/15;11.502
9/18/15;11.366
9/19/15;10.756
9/20/15;9.758
9/21/15;5.133
9/22/15;6.033
9/23/15;8.946
9/24/15;5.473
9/25/15;2.596
9/26/15;3.831
9/27/15;3.487
9/28/15;1.488
9/29/15;2.801
9/30/15;7.662
