 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
8/1/17;10.390
8/2/17;6.887
8/3/17;5.957
8/4/17;6.541
8/5/17;7.909
8/6/17;8.456
8/7/17;8.840
8/8/17;3.210
8/9/17;5.809
8/10/17;7.484
8/11/17;8.499
8/12/17;7.877
8/13/17;9.942
8/14/17;10.161
8/15/17;10.385
8/16/17;8.847
8/17/17;10.332
8/18/17;10.364
8/19/17;11.550
8/20/17;11.488
8/21/17;6.950
8/22/17;8.643
8/23/17;9.878
8/24/17;11.186
8/25/17;10.619
8/26/17;5.392
8/27/17;10.762
8/28/17;7.483
8/29/17;8.836
8/30/17;1.679
8/31/17;4.838
