 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
4/1/16;2.055
4/2/16;13.397
4/3/16;13.426
4/4/16;13.005
4/5/16;13.513
4/6/16;7.954
4/7/16;13.289
4/8/16;13.633
4/9/16;13.523
4/10/16;8.616
4/11/16;8.621
4/12/16;7.347
4/13/16;1.737
4/14/16;5.907
4/15/16;6.429
4/16/16;9.538
4/17/16;13.096
4/18/16;12.870
4/19/16;12.268
4/20/16;9.555
4/21/16;8.792
4/22/16;4.508
4/23/16;13.024
4/24/16;11.869
4/25/16;10.667
4/26/16;11.613
4/27/16;10.631
4/28/16;8.084
4/29/16;11.433
4/30/16;9.690
