 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
6/1/20;10.121
6/2/20;10.970
6/3/20;8.446
6/4/20;8.385
6/5/20;7.028
6/6/20;7.634
6/7/20;7.161
6/8/20;6.426
6/9/20;4.180
6/10/20;5.795
6/11/20;11.382
6/12/20;10.907
6/13/20;10.664
6/14/20;9.447
6/15/20;10.418
6/16/20;9.053
6/17/20;8.093
6/18/20;9.158
6/19/20;10.248
6/20/20;9.614
6/21/20;7.716
6/22/20;8.092
6/23/20;7.864
6/24/20;6.409
6/25/20;4.320
6/26/20;7.613
6/27/20;5.694
6/28/20;9.811
6/29/20;9.125
6/30/20;6.976
