 ;CO2 Saved [Month] / Meter Change [kg] / December 2016;CO2 Saved [Year] / Meter Change [kg] / 2016
City of W. Point Welcome Centr;138.039;3022.681
;138.04 / [Total];3022.68 / [Total]
