 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
12/1/15;2.892
12/2/15;2.113
12/3/15;2.931
12/4/15;8.413
12/5/15;8.218
12/6/15;6.540
12/7/15;7.614
12/8/15;8.003
12/9/15;5.271
12/10/15;4.765
12/11/15;3.008
12/12/15;5.812
12/13/15;4.089
12/14/15;3.661
12/15/15;7.870
12/16/15;4.318
12/17/15;1.637
12/18/15;8.249
12/19/15;8.152
12/20/15;6.402
12/21/15;1.982
12/22/15;0.849
12/23/15;0.316
12/24/15;0.041
12/25/15;2.456
12/26/15;3.969
12/27/15;1.950
12/28/15;0.977
12/29/15;7.266
12/30/15;0.700
12/31/15;1.632
