 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
8/1/15;
8/2/15;
8/3/15;
8/4/15;2.695
8/5/15;10.417
8/6/15;5.758
8/7/15;8.723
8/8/15;11.362
8/9/15;10.947
8/10/15;9.622
8/11/15;6.222
8/12/15;11.822
8/13/15;11.066
8/14/15;8.676
8/15/15;11.008
8/16/15;7.235
8/17/15;6.593
8/18/15;7.985
8/19/15;5.985
8/20/15;8.895
8/21/15;9.193
8/22/15;8.868
8/23/15;8.697
8/24/15;10.279
8/25/15;11.766
8/26/15;12.102
8/27/15;10.140
8/28/15;7.044
8/29/15;4.336
8/30/15;6.318
8/31/15;7.767
