 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
6/1/19;11.312
6/2/19;9.894
6/3/19;11.374
6/4/19;8.513
6/5/19;5.510
6/6/19;2.986
6/7/19;6.937
6/8/19;2.274
6/9/19;4.586
6/10/19;4.556
6/11/19;10.927
6/12/19;5.645
6/13/19;11.818
6/14/19;11.933
6/15/19;10.809
6/16/19;10.777
6/17/19;10.655
6/18/19;4.894
6/19/19;8.825
6/20/19;9.614
6/21/19;9.689
6/22/19;8.529
6/23/19;10.489
6/24/19;8.813
6/25/19;10.437
6/26/19;6.406
6/27/19;9.039
6/28/19;10.966
6/29/19;8.777
6/30/19;9.839
