 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
4/1/19;12.748
4/2/19;10.051
4/3/19;12.219
4/4/19;7.099
4/5/19;6.297
4/6/19;2.538
4/7/19;8.870
4/8/19;2.827
4/9/19;7.082
4/10/19;12.477
4/11/19;11.169
4/12/19;7.244
4/13/19;7.970
4/14/19;5.663
4/15/19;13.466
4/16/19;12.854
4/17/19;11.347
4/18/19;9.400
4/19/19;4.394
4/20/19;4.078
4/21/19;13.249
4/22/19;12.604
4/23/19;11.437
4/24/19;11.573
4/25/19;6.187
4/26/19;11.127
4/27/19;12.796
4/28/19;10.959
4/29/19;11.775
4/30/19;11.394
