 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
10/1/17;11.302
10/2/17;4.093
10/3/17;9.652
10/4/17;8.824
10/5/17;9.198
10/6/17;8.457
10/7/17;4.143
10/8/17;1.187
10/9/17;1.839
10/10/17;7.242
10/11/17;7.368
10/12/17;8.671
10/13/17;7.489
10/14/17;2.989
10/15/17;4.539
10/16/17;7.557
10/17/17;9.349
10/18/17;9.218
10/19/17;8.923
10/20/17;8.803
10/21/17;5.677
10/22/17;4.929
10/23/17;7.566
10/24/17;8.882
10/25/17;9.071
10/26/17;8.749
10/27/17;8.238
10/28/17;1.814
10/29/17;6.339
10/30/17;8.737
10/31/17;8.037
