 ;CO2 Saved [Month] / Meter Change [kg] / November 2020;CO2 Saved [Year] / Meter Change [kg] / 2020
City of W. Point Welcome Centr;168.407;2538.709
;168.41 / [Total];2538.71 / [Total]
