 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
8/1/20;9.974
8/2/20;10.240
8/3/20;8.611
8/4/20;9.720
8/5/20;9.752
8/6/20;10.441
8/7/20;10.278
8/8/20;11.312
8/9/20;9.978
8/10/20;9.607
8/11/20;6.351
8/12/20;9.869
8/13/20;10.673
8/14/20;8.555
8/15/20;7.839
8/16/20;11.724
8/17/20;8.590
8/18/20;12.088
8/19/20;10.504
8/20/20;6.537
8/21/20;7.442
8/22/20;9.058
8/23/20;9.547
8/24/20;4.415
8/25/20;3.718
8/26/20;7.945
8/27/20;8.944
8/28/20;5.909
8/29/20;5.403
8/30/20;8.450
8/31/20;8.657
