 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
7/1/16;10.330
7/2/16;10.428
7/3/16;10.477
7/4/16;9.649
7/5/16;5.277
7/6/16;6.643
7/7/16;10.368
7/8/16;9.545
7/9/16;7.241
7/10/16;11.003
7/11/16;8.856
7/12/16;9.230
7/13/16;9.070
7/14/16;9.078
7/15/16;8.072
7/16/16;6.540
7/17/16;10.583
7/18/16;11.404
7/19/16;10.126
7/20/16;10.954
7/21/16;7.870
7/22/16;10.061
7/23/16;9.589
7/24/16;10.190
7/25/16;8.427
7/26/16;11.636
7/27/16;7.715
7/28/16;8.813
7/29/16;10.065
7/30/16;8.771
7/31/16;9.071
