 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
4/1/20;12.233
4/2/20;11.442
4/3/20;10.595
4/4/20;9.582
4/5/20;8.934
4/6/20;10.451
4/7/20;3.505
4/8/20;4.593
4/9/20;10.163
4/10/20;12.078
4/11/20;12.253
4/12/20;2.744
4/13/20;11.196
4/14/20;11.750
4/15/20;12.767
4/16/20;12.482
4/17/20;11.619
4/18/20;10.525
4/19/20;1.919
4/20/20;10.891
4/21/20;7.960
4/22/20;6.963
4/23/20;2.379
4/24/20;9.966
4/25/20;10.676
4/26/20;12.370
4/27/20;12.345
4/28/20;10.837
4/29/20;3.702
4/30/20;7.290
