 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
4/1/17;12.793
4/2/17;12.305
4/3/17;1.770
4/4/17;12.438
4/5/17;2.968
4/6/17;12.384
4/7/17;13.740
4/8/17;13.094
4/9/17;12.865
4/10/17;12.573
4/11/17;11.029
4/12/17;7.869
4/13/17;10.594
4/14/17;11.302
4/15/17;10.627
4/16/17;10.071
4/17/17;9.129
4/18/17;10.315
4/19/17;8.066
4/20/17;10.800
4/21/17;9.481
4/22/17;11.222
4/23/17;3.447
4/24/17;3.161
4/25/17;12.517
4/26/17;11.680
4/27/17;4.737
4/28/17;8.788
4/29/17;9.701
4/30/17;7.438
