 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
11/1/19;
11/2/19;
11/3/19;
11/4/19;7.664
11/5/19;4.225
11/6/19;8.086
11/7/19;2.309
11/8/19;4.305
11/9/19;8.378
11/10/19;8.077
11/11/19;6.277
11/12/19;4.170
11/13/19;8.683
11/14/19;1.212
11/15/19;0.791
11/16/19;8.561
11/17/19;7.691
11/18/19;7.225
11/19/19;8.095
11/20/19;7.944
11/21/19;5.594
11/22/19;4.891
11/23/19;1.593
11/24/19;6.984
11/25/19;7.673
11/26/19;7.489
11/27/19;3.698
11/28/19;7.413
11/29/19;3.864
11/30/19;6.902
