 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
3/1/18;3.596
3/2/18;11.626
3/3/18;11.490
3/4/18;11.241
3/5/18;2.638
3/6/18;2.452
3/7/18;12.382
3/8/18;12.443
3/9/18;11.850
3/10/18;9.114
3/11/18;1.046
3/12/18;7.966
3/13/18;13.037
3/14/18;13.325
3/15/18;12.977
3/16/18;7.841
3/17/18;4.782
3/18/18;5.412
3/19/18;3.265
3/20/18;8.202
3/21/18;9.932
3/22/18;13.542
3/23/18;5.723
3/24/18;9.253
3/25/18;7.265
3/26/18;1.954
3/27/18;5.000
3/28/18;10.800
3/29/18;5.016
3/30/18;9.791
3/31/18;13.218
