 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
10/1/18;9.296
10/2/18;8.776
10/3/18;8.827
10/4/18;9.141
10/5/18;9.038
10/6/18;7.538
10/7/18;8.265
10/8/18;7.106
10/9/18;5.653
10/10/18;1.038
10/11/18;8.586
10/12/18;9.265
10/13/18;9.016
10/14/18;8.548
10/15/18;5.354
10/16/18;6.506
10/17/18;5.191
10/18/18;8.547
10/19/18;4.313
10/20/18;1.910
10/21/18;9.355
10/22/18;8.528
10/23/18;4.941
10/24/18;8.510
10/25/18;1.399
10/26/18;1.560
10/27/18;3.618
10/28/18;8.481
10/29/18;8.560
10/30/18;8.172
10/31/18;7.884
