 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
12/1/19;7.363
12/2/19;7.329
12/3/19;6.525
12/4/19;7.427
12/5/19;7.458
12/6/19;1.682
12/7/19;5.643
12/8/19;4.418
12/9/19;3.102
12/10/19;1.263
12/11/19;7.020
12/12/19;1.429
12/13/19;0.767
12/14/19;6.139
12/15/19;3.765
12/16/19;3.051
12/17/19;0.755
12/18/19;8.099
12/19/19;7.745
12/20/19;6.218
12/21/19;1.951
12/22/19;0.397
12/23/19;1.518
12/24/19;7.211
12/25/19;6.931
12/26/19;5.601
12/27/19;2.936
12/28/19;2.104
12/29/19;2.225
12/30/19;7.743
12/31/19;7.868
