 ;CO2 Saved [Month] / Meter Change [kg] / December 2019;CO2 Saved [Year] / Meter Change [kg] / 2019
City of W. Point Welcome Centr;143.681;2760.573
;143.68 / [Total];2760.57 / [Total]
