 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
12/1/17;2.209
12/2/17;6.808
12/3/17;7.228
12/4/17;3.626
12/5/17;2.618
12/6/17;0.874
12/7/17;1.174
12/8/17;0.449
12/9/17;8.224
12/10/17;8.114
12/11/17;7.818
12/12/17;7.475
12/13/17;8.091
12/14/17;4.053
12/15/17;3.018
12/16/17;7.701
12/17/17;1.204
12/18/17;2.118
12/19/17;2.584
12/20/17;0.861
12/21/17;2.266
12/22/17;1.457
12/23/17;1.240
12/24/17;2.447
12/25/17;7.527
12/26/17;7.084
12/27/17;1.499
12/28/17;4.071
12/29/17;7.948
12/30/17;7.706
12/31/17;1.460
