 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
7/1/19;10.124
7/2/19;10.616
7/3/19;7.391
7/4/19;6.348
7/5/19;8.479
7/6/19;10.049
7/7/19;9.960
7/8/19;10.833
7/9/19;6.193
7/10/19;7.407
7/11/19;9.500
7/12/19;9.960
7/13/19;5.488
7/14/19;9.285
7/15/19;9.638
7/16/19;11.107
7/17/19;10.496
7/18/19;7.398
7/19/19;4.209
7/20/19;9.029
7/21/19;9.923
7/22/19;10.656
7/23/19;7.058
7/24/19;11.108
7/25/19;10.955
7/26/19;10.501
7/27/19;8.987
7/28/19;8.354
7/29/19;7.689
7/30/19;9.904
7/31/19;8.709
