 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
10/1/16;11.046
10/2/16;6.808
10/3/16;10.413
10/4/16;9.330
10/5/16;10.550
10/6/16;9.765
10/7/16;5.830
10/8/16;10.167
10/9/16;10.238
10/10/16;9.201
10/11/16;9.759
10/12/16;9.654
10/13/16;9.101
10/14/16;8.412
10/15/16;6.038
10/16/16;5.226
10/17/16;8.220
10/18/16;7.635
10/19/16;6.841
10/20/16;6.432
10/21/16;9.192
10/22/16;9.493
10/23/16;8.969
10/24/16;7.384
10/25/16;8.527
10/26/16;7.631
10/27/16;7.129
10/28/16;8.243
10/29/16;8.137
10/30/16;8.171
10/31/16;8.056
