 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
3/1/20;6.945
3/2/20;2.234
3/3/20;0.600
3/4/20;0.977
3/5/20;1.107
3/6/20;11.365
3/7/20;11.415
3/8/20;8.803
3/9/20;7.021
3/10/20;3.383
3/11/20;2.850
3/12/20;8.626
3/13/20;3.851
3/14/20;9.479
3/15/20;5.344
3/16/20;5.125
3/17/20;4.136
3/18/20;5.397
3/19/20;8.726
3/20/20;6.650
3/21/20;7.061
3/22/20;4.426
3/23/20;1.745
3/24/20;6.420
3/25/20;11.038
3/26/20;11.421
3/27/20;8.328
3/28/20;9.132
3/29/20;6.896
3/30/20;7.387
3/31/20;2.753
