 ;CO2 Saved [Month] / Meter Change [kg] / February 2017;CO2 Saved [Year] / Meter Change [kg] / 2017
City of W. Point Welcome Centr;175.428;2780.979
;175.43 / [Total];2780.98 / [Total]
