 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
9/1/20;9.477
9/2/20;9.476
9/3/20;11.069
9/4/20;11.187
9/5/20;12.060
9/6/20;12.029
9/7/20;11.724
9/8/20;8.555
9/9/20;9.136
9/10/20;5.055
9/11/20;8.439
9/12/20;9.031
9/13/20;9.713
9/14/20;8.278
9/15/20;3.614
9/16/20;0.518
9/17/20;4.292
9/18/20;7.486
9/19/20;3.305
9/20/20;10.784
9/21/20;9.484
9/22/20;8.093
9/23/20;8.068
9/24/20;1.380
9/25/20;4.215
9/26/20;7.776
9/27/20;6.020
9/28/20;8.527
9/29/20;2.162
9/30/20;10.818
