 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
6/1/18;8.456
6/2/18;7.048
6/3/18;10.208
6/4/18;12.306
6/5/18;10.014
6/6/18;11.522
6/7/18;11.669
6/8/18;10.433
6/9/18;10.424
6/10/18;9.626
6/11/18;7.610
6/12/18;7.978
6/13/18;8.868
6/14/18;7.984
6/15/18;8.373
6/16/18;7.395
6/17/18;3.551
6/18/18;10.938
6/19/18;10.904
6/20/18;11.270
6/21/18;7.854
6/22/18;9.757
6/23/18;5.807
6/24/18;8.708
6/25/18;8.049
6/26/18;10.393
6/27/18;9.955
6/28/18;7.312
6/29/18;11.468
6/30/18;8.158
