 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
2/1/16;2.941
2/2/16;6.593
2/3/16;1.171
2/4/16;9.572
2/5/16;10.012
2/6/16;8.400
2/7/16;9.640
2/8/16;5.885
2/9/16;3.474
2/10/16;10.300
2/11/16;9.265
2/12/16;9.434
2/13/16;10.053
2/14/16;9.559
2/15/16;3.810
2/16/16;9.747
2/17/16;10.174
2/18/16;10.074
2/19/16;9.976
2/20/16;3.350
2/21/16;2.455
2/22/16;1.734
2/23/16;3.519
2/24/16;3.644
2/25/16;9.345
2/26/16;11.551
2/27/16;11.264
2/28/16;11.255
2/29/16;9.400
